loss,epoch,idx
"tf.Tensor(0.50831175, shape=(), dtype=float32)",1,153
"tf.Tensor(0.5206989, shape=(), dtype=float32)",1,154
"tf.Tensor(0.49740568, shape=(), dtype=float32)",1,155
"tf.Tensor(0.5127603, shape=(), dtype=float32)",1,156
"tf.Tensor(0.49327973, shape=(), dtype=float32)",1,157
"tf.Tensor(0.49459106, shape=(), dtype=float32)",1,158
"tf.Tensor(0.5085074, shape=(), dtype=float32)",1,159
"tf.Tensor(0.50656855, shape=(), dtype=float32)",1,160
"tf.Tensor(0.5100242, shape=(), dtype=float32)",1,161
"tf.Tensor(0.51721823, shape=(), dtype=float32)",1,162
"tf.Tensor(0.50038356, shape=(), dtype=float32)",1,163
"tf.Tensor(0.4950919, shape=(), dtype=float32)",1,164
"tf.Tensor(0.49882072, shape=(), dtype=float32)",1,165
"tf.Tensor(0.48233914, shape=(), dtype=float32)",1,166
"tf.Tensor(0.5106648, shape=(), dtype=float32)",1,167
"tf.Tensor(0.49046713, shape=(), dtype=float32)",1,168
"tf.Tensor(0.5216826, shape=(), dtype=float32)",1,169
"tf.Tensor(0.5066201, shape=(), dtype=float32)",1,170
"tf.Tensor(0.49554548, shape=(), dtype=float32)",1,171
"tf.Tensor(0.5221228, shape=(), dtype=float32)",1,172
"tf.Tensor(0.50737935, shape=(), dtype=float32)",1,173
"tf.Tensor(0.5021484, shape=(), dtype=float32)",1,174
"tf.Tensor(0.5008817, shape=(), dtype=float32)",1,175
"tf.Tensor(0.47114784, shape=(), dtype=float32)",1,176
"tf.Tensor(0.5142249, shape=(), dtype=float32)",1,177
"tf.Tensor(0.4961155, shape=(), dtype=float32)",1,178
"tf.Tensor(0.48624045, shape=(), dtype=float32)",1,179
"tf.Tensor(0.4957687, shape=(), dtype=float32)",1,180
"tf.Tensor(0.5073949, shape=(), dtype=float32)",1,181
"tf.Tensor(0.49431747, shape=(), dtype=float32)",1,182
"tf.Tensor(0.498616, shape=(), dtype=float32)",1,183
"tf.Tensor(0.5151493, shape=(), dtype=float32)",1,184
"tf.Tensor(0.49992555, shape=(), dtype=float32)",1,185
"tf.Tensor(0.4911049, shape=(), dtype=float32)",1,186
"tf.Tensor(0.50169015, shape=(), dtype=float32)",1,187
"tf.Tensor(0.49301004, shape=(), dtype=float32)",1,188
"tf.Tensor(0.49697965, shape=(), dtype=float32)",1,189
"tf.Tensor(0.5009335, shape=(), dtype=float32)",1,190
"tf.Tensor(0.47260928, shape=(), dtype=float32)",1,191
"tf.Tensor(0.49832726, shape=(), dtype=float32)",1,192
"tf.Tensor(0.49060243, shape=(), dtype=float32)",1,193
"tf.Tensor(0.4910431, shape=(), dtype=float32)",1,194
"tf.Tensor(0.47609657, shape=(), dtype=float32)",1,195
"tf.Tensor(0.48683226, shape=(), dtype=float32)",1,196
"tf.Tensor(0.49600744, shape=(), dtype=float32)",1,197
"tf.Tensor(0.5002627, shape=(), dtype=float32)",1,198
"tf.Tensor(0.5038747, shape=(), dtype=float32)",1,199
"tf.Tensor(0.49492675, shape=(), dtype=float32)",1,200
"tf.Tensor(0.48679593, shape=(), dtype=float32)",1,201
"tf.Tensor(0.4904405, shape=(), dtype=float32)",1,202
"tf.Tensor(0.49311656, shape=(), dtype=float32)",1,203
"tf.Tensor(0.5057474, shape=(), dtype=float32)",1,204
"tf.Tensor(0.49886894, shape=(), dtype=float32)",1,205
"tf.Tensor(0.49824142, shape=(), dtype=float32)",1,206
"tf.Tensor(0.4928968, shape=(), dtype=float32)",1,207
